URL,Hauptaufgabe,Suchabsicht,Status
/,Marketingagentur Schweiz,Abo und Projekte sowie Zusammenarbeit verstehen,Überarbeitet
/marketing-abo/,Marketing im Abo,Laufende Leistungen vergleichen,Neu umgesetzt
/projektarbeit/,Marketing Projekte,Einzelprojekt beauftragen,Neu umgesetzt
/webdesign/,Webdesign Schweiz,Website oder Relaunch beauftragen,Vorhanden und verknüpft
/branding/,Branding Agentur Schweiz,Markenentwicklung vergleichen,Fachlich erweitert: Umfang und Zusammenarbeit sowie Budget und FAQ
/social-media/,Social Media Agentur Schweiz,Laufende Social-Media-Betreuung,Fachlich erweitert: Umfang und Zusammenarbeit sowie Budget und FAQ
/content-creation/,Content Creation Schweiz,Foto und Video produzieren lassen,Neu umgesetzt
/kommunikationsstrategie/,Kommunikationsstrategie,Strategieprojekt beauftragen,Neu umgesetzt
/performance-marketing/,Performance Marketing Agentur Schweiz,Google und Meta Ads betreuen lassen,Fachlich erweitert: Umfang und Zusammenarbeit sowie Budget und FAQ
/email-marketing/,E-Mail Marketing Agentur,Newsletter-Kampagnen umsetzen,Fachlich erweitert: Umfang und Zusammenarbeit sowie Budget und FAQ
/kontakt/,Markenanfrage,Abo Projekt oder Teamunterstützung beschreiben,Neu umgesetzt
/wissen/,Marketing Wissen,Passenden Leitfaden finden,Erweitert
/wissen/website-kosten-schweiz/,Website Kosten Schweiz,Kostenfaktoren und eigene Offerte prüfen,Erweitert; verifizierte Preisgrundlage fehlt
/wissen/website-erstellen-lassen/,Website erstellen lassen,Beauftragung vorbereiten,Neu umgesetzt
/wissen/website-relaunch-checkliste/,Website Relaunch Checkliste,Wechsel vorbereiten und prüfen,Neu umgesetzt
/wissen/marketingbudget-kmu/,Marketingbudget KMU,Budget mit Projekten Betreuung Werbeetat und interner Zeit planen,Umgesetzt
/wissen/social-media-agentur-kosten/,Social Media Agentur Kosten,Leistungsumfang und Kosten vergleichen,Geplant
/wissen/google-ads-budget/,Google Ads Budget,Werbeetat Tagesbudget und Ergebnisbewertung verstehen,Umgesetzt
/wissen/branding-kosten-schweiz/,Branding Kosten Schweiz,Projektumfang und Kosten vergleichen,Geplant
/studien/kmu-website-report-schweiz/,Schweizer KMU Website Report,Originaldaten und Methode nutzen,Methode vorbereitet; keine Daten erhoben
/seo/,SEO Betreuung Schweiz,Technik Inhalte und laufende SEO-Arbeit beauftragen,Umgesetzt
/website-betreuung/,Website Betreuung Schweiz,Laufende Pflege und Weiterentwicklung abgeben,Umgesetzt
/wissen/website-pflege-checkliste/,Website Pflege Checkliste,Inhalte Kontaktwege und technische Zuständigkeiten prüfen,Umgesetzt
